Model,RMSE,MAE,R2,Time(s)
Baseline XGBoost,35.62298257689212,17.493442610635388,0.703789333954189,2.11
GridSearchCV,35.08833680755523,17.403835015274943,0.7126139376553714,30.12
RandomizedSearchCV,34.106688767646986,15.500006765375785,0.7284691043967912,83.18
Bayesian (Optuna),33.39054683391278,15.53993666156251,0.7397521209862186,91.2
